brand,model,year,mileage,capacity,power,price,type
Honda,CRF,2025.0,1.0,2863.0,27.0,24700.0,Motorcycle
Harley-Davidson,Touring Road Glide,2024.0,4885.0,19773.0,115.0,189000.0,Motorcycle
QJMOTOR,COV 125X,2026.0,1.0,1253.0,15.0,12990.0,Motorcycle
Suzuki,VS,1991.0,41000.0,0.0,0.0,8800.0,Motorcycle
Ducati,Multistrada,2025.0,2750.0,11583.0,168.0,112000.0,Motorcycle
QJMOTOR,SRV 125V,2026.0,1.0,1253.0,15.0,15990.0,Motorcycle
Talaria,Inny,2026.0,1.0,0.0,43.0,32900.0,Motorcycle
Segway,Snarler AT6,2026.0,1.0,5703.0,44.0,28990.0,Motorcycle
Kymco,MXU,2026.0,1.0,6953.0,45.0,37990.0,Motorcycle
Zipp,Inny,2026.0,1.0,1103.0,0.0,3499.0,Motorcycle
Barton,Rocky,2026.0,1.0,1253.0,0.0,4399.0,Motorcycle
Kawasaki,Ninja,2026.0,1.0,10993.0,136.0,78600.0,Motorcycle
BMW,GS,2025.0,1.0,13003.0,145.0,148900.0,Motorcycle
Vespa,Primavera,2023.0,1.0,0.0,5.0,19999.0,Motorcycle
CFMoto,Allroad,2025.0,1.0,8003.0,75.0,42990.0,Motorcycle
KTM,SMC 690,2026.0,420.0,6903.0,79.0,50000.0,Motorcycle
Suzuki,Address,2025.0,1.0,1253.0,9.0,8900.0,Motorcycle
Suzuki,GSX,2025.0,1.0,7763.0,85.0,39900.0,Motorcycle
Suzuki,Burgman,2025.0,1.0,1253.0,9.0,11900.0,Motorcycle
Suzuki,DR-Z,2026.0,1.0,3983.0,0.0,38500.0,Motorcycle
Suzuki,Avenis,2025.0,1.0,1253.0,9.0,9300.0,Motorcycle
KOVE,800X Rally,2025.0,1.0,7993.0,97.0,42900.0,Motorcycle
Segway,AT5,2026.0,1.0,4993.0,39.0,28490.0,Motorcycle
BMW,S,2026.0,1.0,9993.0,210.0,109810.0,Motorcycle
QJMOTOR,SRK 125S,2026.0,1.0,1253.0,15.0,11990.0,Motorcycle
Zontes,125 G1 Aluminium,2026.0,1.0,1253.0,15.0,15999.0,Motorcycle
Zontes,125 G1 Spoke,2026.0,1.0,1253.0,15.0,17499.0,Motorcycle
Husqvarna,Vitpilen,2024.0,700.0,3733.0,44.0,17500.0,Motorcycle
VOGE,300GY RALLY,2026.0,1.0,2923.0,29.0,20990.0,Motorcycle
Zuumav,S6,2025.0,0.0,2503.0,22.0,8499.0,Motorcycle
Barton,Inny,2026.0,0.0,1253.0,13.0,13999.0,Motorcycle
BMW,GS,2025.0,1.0,13003.0,148.0,117000.0,Motorcycle
BMW,K,2025.0,1.0,16493.0,160.0,124900.0,Motorcycle
KTM,Duke 125,2017.0,26400.0,1253.0,15.0,12900.0,Motorcycle
Segway,AT5,2026.0,1.0,4993.0,39.0,27990.0,Motorcycle
Honda,X-ADV,2025.0,1.0,7453.0,59.0,53200.0,Motorcycle
BMW,GS,2026.0,1.0,13003.0,145.0,70960.0,Motorcycle
Honda,NT,2026.0,1.0,10843.0,102.0,64300.0,Motorcycle
Honda,GL,2026.0,2.0,18333.0,127.0,172500.0,Motorcycle
Segway,AT5,2026.0,1.0,4993.0,39.0,24990.0,Motorcycle
Yamaha,Tracer,2026.0,1.0,6893.0,73.0,52300.0,Motorcycle
Yamaha,PW,2024.0,1.0,503.0,0.0,9500.0,Motorcycle
Yamaha,MT,2025.0,1.0,6893.0,73.0,34500.0,Motorcycle
Yamaha,TTR,2025.0,1.0,1103.0,0.0,15900.0,Motorcycle
Yamaha,WR,2025.0,1.0,4503.0,0.0,47000.0,Motorcycle
Honda,NT,2025.0,1.0,10843.0,102.0,68800.0,Motorcycle
Kawasaki,Ninja 400,2018.0,18104.0,3993.0,45.0,19900.0,Motorcycle
BMW,GS,2026.0,1.0,13003.0,145.0,133970.0,Motorcycle
Piaggio,MP-3,2020.0,28667.0,3503.0,30.0,16200.0,Motorcycle
Honda,NT,2025.0,1.0,10843.0,102.0,59800.0,Motorcycle
Harley-Davidson,Pan America,2026.0,1.0,12523.0,151.0,121890.0,Motorcycle
HISUN,Guardian 550,2026.0,1.0,5503.0,37.0,29900.0,Motorcycle
BMW,C 400 GT,2025.0,1.0,3503.0,34.0,41000.0,Motorcycle
Zontes,125 G1 Spoke,2025.0,1.0,1253.0,15.0,16799.0,Motorcycle
Zontes,125 G1 Aluminium,2025.0,1.0,1253.0,15.0,15499.0,Motorcycle
Harley-Davidson,Softail Fat Bob,2023.0,22287.0,18683.0,0.0,70900.0,Motorcycle
Moto,Guzzi Nevada,2005.0,67300.0,483.0,744.0,11900.0,Motorcycle
Triumph,Bonneville,2015.0,5083.0,0.0,0.0,28800.0,Motorcycle
Kymco,MXU,2026.0,1.0,6953.0,44.0,37990.0,Motorcycle
Honda,CB,2026.0,1.0,1253.0,15.0,21800.0,Motorcycle
Can-Am,Inny,2026.0,1.0,10003.0,82.0,121400.0,Motorcycle
